DC1 DC1 1000
DC1 DC2 80
DC1 DC3 150
DC1 DC12 500
DC2 DC1 80
DC2 DC2 1000
DC2 DC3 122
DC2 DC4 250
DC2 DC5 175
DC3 DC1 100
DC3 DC2 104
DC3 DC3 1000
DC3 DC4 210
DC3 DC5 45
DC3 DC8 300
DC3 DC11 400
DC4 DC2 220
DC4 DC3 205
DC4 DC4 1000
DC4 DC5 20
DC4 DC6 160
DC4 DC9 300
DC5 DC2 169
DC5 DC3 36
DC5 DC4 15
DC5 DC5 1000
DC5 DC6 200
DC5 DC7 190
DC6 DC4 160
DC6 DC5 210
DC6 DC6 1000
DC6 DC8 90
DC6 DC11 53
DC6 DC13 500
DC7 DC5 205
DC7 DC7 1000
DC7 DC10 66
DC7 DC11 37
DC8 DC3 300
DC8 DC6 78
DC8 DC8 1000
DC8 DC9 31
DC8 DC10 87
DC9 DC4 300
DC9 DC8 26
DC9 DC9 1000
DC9 DC11 93
DC9 DC12 500
DC10 DC7 54
DC10 DC8 50
DC10 DC10 1000
DC11 DC3 400
DC11 DC6 42
DC11 DC7 64
DC11 DC9 67
DC11 DC11 1000
DC12 DC1 500
DC12 DC9 500
DC12 DC12 1000
DC12 DC13 500
DC13 DC6 500
DC13 DC12 500
DC13 DC13 1000
