DC1 DC1 1000
DC1 DC10 410
DC1 DC13 160
DC2 DC2 1000
DC2 DC5 200
DC2 DC6 80
DC2 DC10 430
DC2 DC13 250
DC2 DC16 40
DC2 DC18 110
DC3 DC3 1000
DC3 DC4 130
DC3 DC5 370
DC3 DC7 410
DC3 DC14 260
DC3 DC17 300
DC4 DC3 290
DC4 DC4 1000
DC4 DC13 440
DC4 DC15 200
DC5 DC2 60
DC5 DC3 360
DC5 DC5 1000
DC5 DC8 190
DC5 DC12 480
DC5 DC13 150
DC6 DC2 330
DC6 DC6 1000
DC6 DC7 390
DC7 DC3 440
DC7 DC6 70
DC7 DC7 1000
DC7 DC8 250
DC7 DC16 70
DC8 DC5 290
DC8 DC7 460
DC8 DC8 1000
DC8 DC10 450
DC8 DC12 470
DC8 DC15 470
DC8 DC16 330
DC9 DC9 1000
DC9 DC11 490
DC9 DC17 50
DC10 DC1 30
DC10 DC2 180
DC10 DC8 500
DC10 DC10 1000
DC10 DC11 290
DC11 DC9 60
DC11 DC10 90
DC11 DC11 1000
DC11 DC16 90
DC12 DC5 360
DC12 DC8 160
DC12 DC12 1000
DC12 DC16 400
DC13 DC1 270
DC13 DC2 100
DC13 DC4 40
DC13 DC5 270
DC13 DC13 1000
DC13 DC16 290
DC13 DC18 360
DC14 DC3 350
DC14 DC14 1000
DC14 DC16 190
DC15 DC4 130
DC15 DC8 240
DC15 DC15 1000
DC15 DC17 330
DC16 DC2 220
DC16 DC7 90
DC16 DC8 490
DC16 DC11 70
DC16 DC12 40
DC16 DC13 60
DC16 DC14 290
DC16 DC16 1000
DC16 DC17 120
DC17 DC3 340
DC17 DC9 180
DC17 DC15 360
DC17 DC16 250
DC17 DC17 1000
DC18 DC2 220
DC18 DC13 250
DC18 DC18 1000
